SubjectID,researchdate
1306806058556077568,2025-06-01
1306806058556077568,2025-06-02
4692759896965140290,2025-06-02
6629304165209877741,2025-06-02
1306806058556077568,2025-06-03
1729388589032331985,2025-06-03
5629511854270500800,2025-06-03
1729388589032331985,2025-06-04
1729388589032331985,2025-06-05
1729388589032331985,2025-06-06
1882516134850618573,2025-06-07
8502804186997688729,2025-06-07
1729388589032331985,2025-06-08
1297043030334348571,2025-06-09
1729388589032331985,2025-06-09
1954573939019829505,2025-06-09
7782225973962771416,2025-06-09
8502803222098581352,2025-06-09
1729388589032331985,2025-06-11
2242805481916280257,2025-06-11
7998397832613031942,2025-06-11
792639191900656750,2025-06-12
1585271561337012029,2025-06-12
1729388589032331985,2025-06-12
441361688982367554,2025-06-14
1729388589032331985,2025-06-14
2738194092690289029,2025-06-14
1585271561336888673,2025-06-15
1585271561337001691,2025-06-18
1585271561337001691,2025-06-19
1585271561337025775,2025-06-21
6629304165209877199,2025-06-22
432351254888983589,2025-06-25
1585271561337001691,2025-06-25
3674944142301961984,2025-06-25
1585271561337001691,2025-06-26
6629304165209877199,2025-06-26
1585271561337001691,2025-06-27
1585271561336994462,2025-06-28
1585271561337033691,2025-06-29
8502803222098581352,2025-06-29
2738194092690289087,2025-06-30
4692759896965140290,2025-06-30
1585271561336901830,2025-07-02
2738194092690289068,2025-07-04
3035436765780351298,2025-07-05
1306055918923481346,2025-07-06
1585271561337001691,2025-07-07
1585271561337030686,2025-07-07
1729388589032331985,2025-07-07
1729388589032331985,2025-07-10
1585271561336939603,2025-07-11
6341074104264854133,2025-07-11
6629304165209876826,2025-07-11
4844634155853,2025-07-12
6701361217345430160,2025-07-17
6629304165209877571,2025-07-22
1297043019275485478,2025-07-23
2676102810245518080,2025-07-27
1585271561336901830,2025-07-28
4692759896965140290,2025-07-29
6196960145816224833,2025-07-29
8656829890936839488,2025-07-29
7791239233038936448,2025-07-31
8656829890936839488,2025-07-31
6341074104264855368,2025-08-03
3747000630363940378,2025-08-04
3747000630363940378,2025-08-05
8872102004503143591,2025-08-05
6701361217345430821,2025-08-06
1585271561337011960,2025-08-07
3458771572229117194,2025-08-09
5413337214202462653,2025-08-09
792639191900656652,2025-08-11
5764615010830211364,2025-08-11
3747000630363940378,2025-08-12
504410216844887574,2025-08-13
1873514497487928217,2025-08-13
5116096277414528843,2025-08-15
6557246880847484935,2025-08-16
6710377279947371714,2025-08-16
9089272665615484736,2025-08-17
1666343015431464640,2025-08-19
5053052694490078976,2025-08-21
2098689768527749313,2025-08-22
216178771397981588,2025-08-24
1585271561336766040,2025-08-25
1585271561337034979,2025-08-27
2388593940434537216,2025-08-27
4107288419676846194,2025-08-27
5404327400063577413,2025-08-27
2738194092690289087,2025-08-28
4107288419676846194,2025-08-28
1585271561336901830,2025-08-29
5116096277414528843,2025-08-29
1585271561336901830,2025-08-30
3747000630363940378,2025-08-30
3684346221097551104,2025-08-31
1585271561336939603,2025-09-01
5116095829525861647,2025-09-02
1585271561337001691,2025-09-03
1729388589032331985,2025-09-03
2388593940434537216,2025-09-05
2819265587255210048,2025-09-05
1585271561336914069,2025-09-06
3747000630363940378,2025-09-06
7576643904375722625,2025-09-06
1585271561336939603,2025-09-08
1585271561336939603,2025-09-09
1585271561336801038,2025-09-10
7576643904375722625,2025-09-11
5629511854270504897,2025-09-15
2882311520272393920,2025-09-17
4764817325728908033,2025-09-17
7576643904375722625,2025-09-18
504410216844887574,2025-09-19
1585271561336916995,2025-09-21
7576643904375722625,2025-09-21
1585271561336717022,2025-09-24
1585271561336717022,2025-09-25
4694401212316192064,2025-09-26
4764817325728908033,2025-09-26
6629305709414973060,2025-09-26
8872102004503143591,2025-09-28
4548647573216189508,2025-09-29
2954367870147816270,2025-09-30
6341074104264853846,2025-10-01
7576643904375722625,2025-10-01
1585271561336914069,2025-10-02
4107288419676846176,2025-10-02
8214571128982578588,2025-10-04
3747000630363940378,2025-10-05
7576643904375722625,2025-10-05
4179348185308884928,2025-10-06
4692759896965140290,2025-10-06
4755806029018135186,2025-10-07
5269224956824505472,2025-10-08
6052843423965704808,2025-10-08
6927906236549392704,2025-10-09
2738194092690289025,2025-10-11
1585271561336984926,2025-10-14
3901231049869308352,2025-10-14
7576643904375722625,2025-10-14
2316166949196710976,2025-10-15
5332267584642577308,2025-10-15
946914460040435776,2025-10-16
1666343015431464640,2025-10-16
2242869852638387712,2025-10-16
2748908614381779392,2025-10-16
6196958805535046283,2025-10-17
6710374448786440788,2025-10-17
5701568878757409536,2025-10-19
4261308455727522880,2025-10-20
1585271561336817322,2025-10-21
1738401682216574849,2025-10-21
5197164996113048095,2025-10-22
4107288419676846091,2025-10-25
7647124857813028096,2025-10-25
1585271561336984926,2025-10-26
2242869852638387712,2025-10-29
8872102004503143591,2025-10-29
1306055918923481346,2025-10-30
